Cohort,School,Conference,Sport,State,GSR,FGR
1999,University of Akron,Mid-American Conference,Football,OH,60,55
1999,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,81,65
1999,Alabama State University,Southwestern Athletic Conf.,Football,AL,42,41
1999,University of Alabama,Southeastern Conference,Football,AL,44,46
1999,University of Alabama at Birmingham,Conference USA,Football,AL,47,47
1999,Alcorn State University,Southwestern Athletic Conf.,Football,MS,85,31
1999,Appalachian State University,Southern Conference,Football,NC,66,49
1999,Arizona State University,Pac-12 Conference,Football,AZ,56,53
1999,University of Arizona,Pac-12 Conference,Football,AZ,39,33
1999,Arkansas State University,Sun Belt Conference,Football,AR,59,41
1999,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,55,46
1999,Auburn University,Southeastern Conference,Football,AL,63,56
1999,Austin Peay State University,Pioneer Football League,Football,TN,39,14
1999,Ball State University,Mid-American Conference,Football,IN,88,78
1999,Charleston Southern University,Big South Conference,Football,SC,35,32
1999,Baylor University,Big 12 Conference,Football,TX,85,68
1999,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,63,33
1999,Boise State University,Western Athletic Conference,Football,ID,65,51
1999,Boston College,Atlantic Coast Conference,Football,MA,96,91
1999,Bowling Green State University,Mid-American Conference,Football,OH,75,54
1999,Brigham Young University,Mountain West Conference,Football,UT,53,28
1999,Bucknell University,Patriot League,Football,PA,95,91
1999,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,73,60
1999,Butler University,Pioneer Football League,Football,IN,84,
1999,California Polytechnic State University,Great West Football Conference,Football,CA,68,58
1999,"California State University, Fresno",Western Athletic Conference,Football,CA,51,44
1999,"California State University, Sacramento",Big Sky Conference,Football,CA,59,50
1999,"University of California, Berkeley",Pac-12 Conference,Football,CA,44,37
1999,"University of California, Davis",Independent,Football,CA,90,100
1999,"University of California, Los Angeles",Pac-12 Conference,Football,CA,59,53
1999,Central Connecticut State University,Northeast Conference,Football,CT,100,
1999,University of Central Florida,Conference USA,Football,FL,42,31
1999,Central Michigan University,Mid-American Conference,Football,MI,70,59
1999,University of Cincinnati,American Athletic Conference,Football,OH,60,63
1999,The Citadel,Southern Conference,Football,SC,96,69
1999,Clemson University,Atlantic Coast Conference,Football,SC,77,59
1999,Colgate University,Patriot League,Football,NY,91,83
1999,Colorado State University,Mountain West Conference,Football,CO,57,48
1999,"University of Colorado, Boulder",Big 12 Conference,Football,CO,68,62
1999,University of Connecticut,American Athletic Conference,Football,CT,76,55
1999,Davidson College,Pioneer Football League,Football,NC,100,
1999,University of Dayton,Pioneer Football League,Football,OH,96,
1999,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,60,49
1999,University of Delaware,Atlantic 10 Conference,Football,DE,80,71
1999,Drake University,Pioneer Football League,Football,IA,79,
1999,Duke University,Atlantic Coast Conference,Football,NC,93,86
1999,Duquesne University,Metro Atlantic Athletic Conference,Football,PA,82,
1999,East Carolina University,Conference USA,Football,NC,78,68
1999,Eastern Illinois University,Ohio Valley Conference,Football,IL,62,49
1999,Eastern Kentucky University,Ohio Valley Conference,Football,KY,56,48
1999,Eastern Michigan University,Mid-American Conference,Football,MI,55,62
1999,Eastern Washington University,Big Sky Conference,Football,WA,70,42
1999,Florida A&M University,Mid-Eastern Athletic Conf.,Football,FL,25,22
1999,Florida State University,Atlantic Coast Conference,Football,FL,52,42
1999,University of Florida,Southeastern Conference,Football,FL,80,42
1999,Fordham University,Patriot League,Football,NY,87,72
1999,Furman University,Southern Conference,Football,SC,97,82
1999,Georgetown University,Patriot League,Football,DC,98,97
1999,Georgia Southern University,Southern Conference,Football,GA,61,57
1999,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,55,48
1999,University of Georgia,Southeastern Conference,Football,GA,40,39
1999,Grambling State University,Southwestern Athletic Conf.,Football,LA,36,36
1999,Hampton University,Mid-Eastern Athletic Conf.,Football,VA,78,54
1999,"University of Hawaii, Manoa",Western Athletic Conference,Football,HI,49,46
1999,Hofstra University,Colonial Athletic Association,Football,NY,55,39
1999,College of the Holy Cross,Patriot League,Football,MA,91,75
1999,University of Houston,Conference USA,Football,TX,51,42
1999,Howard University,Mid-Eastern Athletic Conf.,Football,DC,58,57
1999,Idaho State University,Big Sky Conference,Football,ID,27,27
1999,University of Idaho,Western Athletic Conference,Football,ID,61,49
1999,Illinois State University,Missouri Valley Football Conference,Football,IL,59,55
1999,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,67,53
1999,Indiana State University,Missouri Valley Football Conference,Football,IN,83,63
1999,"Indiana University, Bloomington",Big Ten Conference,Football,IN,71,57
1999,Iona College,Metro Atlantic Athletic Conference,Football,NY,61,
1999,Iowa State University,Big 12 Conference,Football,IA,52,58
1999,University of Iowa,Big Ten Conference,Football,IA,65,56
1999,Jackson State University,Southwestern Athletic Conf.,Football,MS,37,40
1999,Jacksonville State University,Ohio Valley Conference,Football,AL,52,49
1999,Jacksonville University,Pioneer Football League,Football,FL,47,
1999,James Madison University,Atlantic 10 Conference,Football,VA,64,64
1999,Kansas State University,Big 12 Conference,Football,KS,76,63
1999,University of Kansas,Big 12 Conference,Football,KS,51,48
1999,Kent State University,Mid-American Conference,Football,OH,83,76
1999,University of Kentucky,Southeastern Conference,Football,KY,55,39
1999,La Salle University,Metro Atlantic Athletic Conference,Football,PA,86,
1999,Lafayette College,Patriot League,Football,PA,93,76
1999,Lehigh University,Patriot League,Football,PA,94,74
1999,Liberty University,Big South Conference,Football,VA,71,48
1999,Louisiana State University,Southeastern Conference,Football,LA,49,37
1999,Louisiana Tech University,Western Athletic Conference,Football,LA,61,61
1999,University of Louisville,American Athletic Conference,Football,KY,54,47
1999,"University of Maine, Orono",Atlantic 10 Conference,Football,ME,61,48
1999,Marist College,Metro Atlantic Athletic Conference,Football,NY,78,
1999,Marshall University,Conference USA,Football,WV,76,65
1999,"University of Maryland, College Park",Atlantic Coast Conference,Football,MD,64,62
1999,"University of Massachusetts, Amherst",Atlantic 10 Conference,Football,MA,64,62
1999,McNeese State University,Southland Conference,Football,LA,72,69
1999,University of Memphis,Conference USA,Football,TN,59,46
1999,Miami University (Ohio),Mid-American Conference,Football,OH,75,57
1999,University of Miami (Florida),Atlantic Coast Conference,Football,FL,68,65
1999,Michigan State University,Big Ten Conference,Football,MI,45,39
1999,University of Michigan,Big Ten Conference,Football,MI,71,63
1999,Middle Tennessee State University,Sun Belt Conference,Football,TN,52,48
1999,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,44,44
1999,Mississippi State University,Southeastern Conference,Football,MS,57,56
1999,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,47,36
1999,University of Mississippi,Southeastern Conference,Football,MS,58,49
1999,"University of Missouri, Columbia",Big 12 Conference,Football,MO,52,45
1999,Monmouth University,Northeast Conference,Football,NJ,80,50
1999,Montana State University-Bozeman,Big Sky Conference,Football,MT,58,42
1999,University of Montana,Big Sky Conference,Football,MT,70,62
1999,Morehead State University,Pioneer Football League,Football,KY,36,
1999,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,63,50
1999,Murray State University,Ohio Valley Conference,Football,KY,69,56
1999,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,70,61
1999,"University of Nebraska, Lincoln",Big 12 Conference,Football,NE,88,75
1999,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,46,39
1999,"University of Nevada, Reno",Western Athletic Conference,Football,NV,53,38
1999,University of New Hampshire,Atlantic 10 Conference,Football,NH,81,65
1999,New Mexico State University,Western Athletic Conference,Football,NM,55,48
1999,University of New Mexico,Mountain West Conference,Football,NM,49,39
1999,Nicholls State University,Southland Conference,Football,LA,44,35
1999,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,45,38
1999,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,41,41
1999,North Carolina State University,Atlantic Coast Conference,Football,NC,57,41
1999,North Dakota State University,Independent,Football,ND,75,65
1999,University of North Texas,Sun Belt Conference,Football,TX,55,49
1999,University of Louisiana at Monroe,Sun Belt Conference,Football,LA,66,52
1999,Northeastern University,Atlantic 10 Conference,Football,MA,86,75
1999,Northern Arizona University,Big Sky Conference,Football,AZ,49,42
1999,University of Northern Colorado,Independent,Football,CO,100,70
1999,Northern Illinois University,Mid-American Conference,Football,IL,61,53
1999,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,76,57
1999,Northwestern State University,Southland Conference,Football,LA,55,43
1999,Northwestern University,Big Ten Conference,Football,IL,91,79
1999,University of Notre Dame,Independent,Football,IN,95,84
1999,The Ohio State University,Big Ten Conference,Football,OH,55,49
1999,Ohio University,Mid-American Conference,Football,OH,76,68
1999,Oklahoma State University,Big 12 Conference,Football,OK,65,67
1999,University of Oklahoma,Big 12 Conference,Football,OK,52,44
1999,Oregon State University,Pac-12 Conference,Football,OR,60,58
1999,University of Oregon,Pac-12 Conference,Football,OR,59,52
1999,Pennsylvania State University,Big Ten Conference,Football,PA,80,76
1999,University of Pittsburgh,American Athletic Conference,Football,PA,54,41
1999,Portland State University,Big Sky Conference,Football,OR,59,50
1999,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,44,35
1999,Purdue University,Big Ten Conference,Football,IN,68,56
1999,University of Rhode Island,Atlantic 10 Conference,Football,RI,69,54
1999,Rice University,Conference USA,Football,TX,84,78
1999,University of Richmond,Atlantic 10 Conference,Football,VA,97,90
1999,Robert Morris University,Northeast Conference,Football,PA,,
1999,"Rutgers, The State University of New Jersey, New Brunswick",American Athletic Conference,Football,NJ,58,50
1999,Sacred Heart University,Northeast Conference,Football,CT,71,67
1999,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,47,
1999,Saint Peter's University,Metro Atlantic Athletic Conference,Football,NJ,59,
1999,Sam Houston State University,Southland Conference,Football,TX,53,49
1999,Samford University,Ohio Valley Conference,Football,AL,89,67
1999,San Diego State University,Mountain West Conference,Football,CA,76,67
1999,University of San Diego,Pioneer Football League,Football,CA,83,
1999,San Jose State University,Western Athletic Conference,Football,CA,32,33
1999,Savannah State University,Independent,Football,GA,40,40
1999,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,60,42
1999,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,64,54
1999,South Dakota State University,Independent,Football,SD,67,50
1999,University of South Florida,American Athletic Conference,Football,FL,66,61
1999,Southeast Missouri State University,Ohio Valley Conference,Football,MO,52,38
1999,University of Southern California,Pac-12 Conference,Football,CA,55,52
1999,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,58,50
1999,Southern Methodist University,Conference USA,Football,TX,82,65
1999,The University of Southern Mississippi,Conference USA,Football,MS,78,73
1999,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,44,56
1999,Southern Utah University,Independent,Football,UT,75,36
1999,Missouri State University,Missouri Valley Football Conference,Football,MO,47,48
1999,Texas State University,Southland Conference,Football,TX,71,64
1999,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,61,53
1999,Stanford University,Pac-12 Conference,Football,CA,94,91
1999,Stephen F. Austin State University,Southland Conference,Football,TX,52,46
1999,Stony Brook University,Northeast Conference,Football,NY,50,44
1999,Syracuse University,American Athletic Conference,Football,NY,70,65
1999,Temple University,Independent,Football,PA,45,37
1999,Tennessee State University,Ohio Valley Conference,Football,TN,82,75
1999,Tennessee Technological University,Ohio Valley Conference,Football,TN,51,41
1999,University of Tennessee at Chattanooga,Southern Conference,Football,TN,53,58
1999,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,58,40
1999,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,46,36
1999,"Texas A&M University, College Station",Big 12 Conference,Football,TX,63,53
1999,Texas Christian University,Mountain West Conference,Football,TX,77,67
1999,Texas Southern University,Southwestern Athletic Conf.,Football,TX,39,35
1999,Texas Tech University,Big 12 Conference,Football,TX,73,63
1999,University of Texas at Austin,Big 12 Conference,Football,TX,40,29
1999,University of Texas at El Paso,Conference USA,Football,TX,44,37
1999,University of Toledo,Mid-American Conference,Football,OH,68,63
1999,Towson University,Atlantic 10 Conference,Football,MD,58,65
1999,Troy University,Sun Belt Conference,Football,AL,77,52
1999,Tulane University,Conference USA,Football,LA,77,71
1999,The University of Tulsa,Conference USA,Football,OK,58,39
1999,U.S. Air Force Academy,Mountain West Conference,Football,CO,93,
1999,U.S. Military Academy,Conference USA,Football,NY,90,
1999,U.S. Naval Academy,Independent,Football,MD,98,
1999,Utah State University,Western Athletic Conference,Football,UT,55,42
1999,University of Utah,Mountain West Conference,Football,UT,56,47
1999,Valparaiso University,Pioneer Football League,Football,IN,90,
1999,Vanderbilt University,Southeastern Conference,Football,TN,92,86
1999,Villanova University,Atlantic 10 Conference,Football,PA,93,83
1999,Virginia Military Institute,Big South Conference,Football,VA,58,51
1999,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,74,62
1999,University of Virginia,Atlantic Coast Conference,Football,VA,63,60
1999,Wagner College,Northeast Conference,Football,NY,79,58
1999,Wake Forest University,Atlantic Coast Conference,Football,NC,93,86
1999,Washington State University,Pac-12 Conference,Football,WA,57,62
1999,University of Washington,Pac-12 Conference,Football,WA,66,59
1999,Weber State University,Big Sky Conference,Football,UT,78,37
1999,West Virginia University,American Athletic Conference,Football,WV,63,52
1999,Western Carolina University,Southern Conference,Football,NC,78,58
1999,Western Illinois University,Missouri Valley Football Conference,Football,IL,48,58
1999,Western Kentucky University,Missouri Valley Football Conference,Football,KY,63,42
1999,Western Michigan University,Mid-American Conference,Football,MI,70,69
1999,College of William & Mary,Atlantic 10 Conference,Football,VA,98,92
1999,University of Wisconsin-Madison,Big Ten Conference,Football,WI,62,51
1999,University of Wyoming,Mountain West Conference,Football,WY,73,42
1999,Youngstown State University,Missouri Valley Football Conference,Football,OH,60,53
1999,Elon University,Southern Conference,Football,NC,90,82
1999,Gardner-Webb University,Big South Conference,Football,NC,25,26
1999,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,47,40
1999,Wofford College,Southern Conference,Football,SC,86,71
